model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
ir.module.module		merge	MAIL_TIP|MAIL	mail_tip	mail_tip	mail_tip	mail_tip	mail	mail	mail	mail	mail
ir.module.module		merge	MARKETING_CRM|CRM	marketing_crm	marketing_crm	marketing_crm	crm	crm	crm	crm	crm	crm
ir.module.module		merge	MARKETING|MARKETING_CAMPAIGN	marketing	marketing	marketing	marketing	marketing_campaign	marketing_campaign	marketing_campaign	marketing_campaign	marketing_campaign
ir.module.module		merge	MASS_MAILING_SECURITY_GROUP|MASS_MAILING	mass_mailing_security_group	mass_mailing_security_group	mass_mailing_security_group	mass_mailing_security_group	mass_mailing	mass_mailing	mass_mailing	mass_mailing	mass_mailing
ir.module.module		merge	MASS_MAILING_SENDING_QUEUE|MASS_MAILING	mass_mailing_sending_queue	mass_mailing_sending_queue	mass_mailing_sending_queue	mass_mailing	mass_mailing	mass_mailing	mass_mailing	mass_mailing	mass_mailing
ir.module.module		merge	MRP_OPERATIONS|MRP	mrp_operations	mrp_operations	mrp_operations	mrp_operations	mrp	mrp	mrp	mrp	mrp
ir.module.module		merge	MRP_PRODUCTION_UNRESERVE|MRP	mrp_production_unreserve	mrp_production_unreserve	mrp_production_unreserve	mrp_production_unreserve	mrp	mrp	mrp	mrp	mrp
ir.module.module		merge	PARTNER_PREPAYMENT|SALE_DELIVERY_BLOCK	partner_prepayment	partner_prepayment	partner_prepayment	sale_delivery_block	sale_delivery_block	sale_delivery_block	sale_delivery_block	sale_delivery_block	sale_delivery_block
ir.module.module		merge	PORTAL_PROJECT_ISSUE|PROJECT_ISSUE	portal_project_issue	portal_project_issue	portal_project_issue	project_issue	project_issue	project_issue	project_issue	project_issue	project_issue
ir.module.module		merge	PORTAL_PROJECT|PROJECT	portal_project	portal_project	portal_project	project	project	project	project	project	project
ir.module.module		merge	PROCUREMENT_JIT_STOCK|PROCUREMENT_JIT	procurement_jit_stock	procurement_jit_stock	procurement_jit_stock	procurement_jit	procurement_jit	procurement_jit	procurement_jit	procurement_jit	procurement_jit
ir.module.module		merge	PRODUCT_CUSTOMER_CODE_SALE|PRODUCT_SUPPLIERINFO_FOR_CUSTOMER_SALE	product_customer_code_sale	product_customer_code_sale	product_customer_code_sale	product_customer_code_sale	product_supplierinfo_for_customer_sale	product_supplierinfo_for_customer_sale	product_supplierinfo_for_customer_sale	product_supplierinfo_for_customer_sale	product_supplierinfo_for_customer_sale
ir.module.module		merge	PRODUCT_PRICELIST_FIXED_PRICE|PRODUCT	product_pricelist_fixed_price	product_pricelist_fixed_price	product_pricelist_fixed_price	product	product	product	product	product	product
